Unnamed: 0,observation_date,CPIAUCSL,CPILFESL,UNRATE,DCOILWTICO,VIXCLS,DTWEXBGS,GOLD,MOVE,SP500,Open,High,Low,GS10,FEDFUNDS,Date,SMA_10,SMA_50,EMA_10,EMA_50,ROC_10,RSI_14,BB_upper,BB_lower,Volatility_20
120,2017-07-21,244.243,251.985,4.3,45.78,9.36,110.191,1227.67,51.0,2472.54,2467.4,2472.54,2465.06,2.32,1.15,2017-07-21,2432.0240000000003,2290.9266000000002,2431.514929203278,2309.276007446253,0.03414613743778494,82.18207898157682,2480.5399019484375,2317.9960980515625,0.008291366061475354
121,2017-07-28,244.243,251.985,4.3,49.72,10.29,109.92,1251.66,47.4,2472.1,2469.12,2473.53,2464.66,2.32,1.15,2017-07-28,2441.061,2296.6875999999997,2438.8940329845,2315.661262056204,0.03794300781364801,80.278718288434,2490.660146471121,2317.8258535288787,0.008175509317512477
122,2017-08-04,245.183,252.535,4.4,49.57,10.03,110.2808,1267.82,48.5,2476.83,2476.88,2480.0,2472.08,2.21,1.16,2017-08-04,2447.1620000000003,2302.5468,2445.7914815327727,2321.981604720667,0.02525436497752298,76.77012889428343,2500.4552156359687,2317.8887843640305,0.008175294931044146
123,2017-08-11,245.183,252.535,4.4,48.81,15.51,110.0422,1257.75,47.3,2441.32,2441.04,2448.09,2437.85,2.21,1.16,2017-08-11,2447.387,2307.9924,2444.97848489045,2326.661541790445,0.0009224827495726284,60.86439538851264,2500.962698155643,2327.1153018443565,0.008167577833461219
124,2017-08-18,245.183,252.535,4.4,48.59,14.26,110.041,1287.38,52.1,2425.55,2427.64,2440.27,2420.69,2.21,1.16,2017-08-18,2446.7650000000003,2312.9038,2441.4460330921866,2330.539520543761,-0.0025578076874045452,58.627558388526445,2500.772487899878,2333.588512100122,0.008254587755846173
125,2017-08-25,245.183,252.535,4.4,47.65,11.28,109.3415,1295.8,50.2,2443.05,2444.72,2453.96,2442.22,2.21,1.16,2017-08-25,2447.755,2319.2086,2441.7376634390616,2334.9516962087114,0.004068799704087356,64.66003633929424,2500.600260592609,2342.511739407391,0.00828631614383835
126,2017-09-01,246.435,252.812,4.3,47.32,10.13,109.0504,1292.94,50.6,2476.55,2474.42,2480.38,2473.85,2.2,1.15,2017-09-01,2451.5800000000004,2325.9564,2448.067179177414,2340.5045708671933,0.015687159086248625,64.5600575401582,2498.577423970453,2359.2945760295474,0.008081956482915466
127,2017-09-08,246.435,252.812,4.3,47.44,12.12,107.808,1321.86,49.4,2461.43,2462.25,2467.11,2459.4,2.2,1.15,2017-09-08,2455.382,2331.8912,2450.496782963339,2345.246744558676,0.015688637085759405,55.57828560023939,2494.4291113619083,2374.7168886380914,0.008228593845146492
128,2017-09-15,246.435,252.812,4.3,49.9,10.17,108.3147,1345.93,54.9,2500.23,2495.67,2500.23,2493.16,2.2,1.15,2017-09-15,2462.887,2338.5304,2459.5391860609134,2351.324519281865,0.03094615657394506,64.75939979303203,2502.135220433151,2378.6137795668496,0.008282168263493305
129,2017-09-22,246.435,252.812,4.3,50.33,9.59,108.7542,1322.07,50.6,2502.22,2497.26,2503.47,2496.54,2.2,1.15,2017-09-22,2467.182,2345.5,2467.299334049838,2357.2419891139484,0.017464532157916768,64.85184707349579,2509.962792225728,2381.079207774272,0.008236697681268898
